Organisation,Details,Rocket_Status,Price
Virgin Orbit,LauncherOne | STP-S28A,Retired,12.0
ULA,Atlas V 541 | USSF-12 (WFOV),Active,145.0
ISRO,PSLV-CA | DS-EO & Others,Active,21.0
SpaceX,Falcon 9 Block 5 | SES-22,Active,67.0
Rocket Lab,Electron/Photon | CAPSTONE,Active,7.5
CASC,Long March 4C | Gaofen-12 03,Active,64.68
ISA,Zoljanah | Demo Flight 1,Active,
CASC,Long March 2D | Yaogan 35 Group 02,Active,29.75
Arianespace,Ariane 5 ECA | Measat-3d & GSAT-24,Retired,200.0
ExPace,Kuaizhou 1A | Tianxing-1,Active,5.8
KARI,KSLV-2 | Test Flight 2,Active,
SpaceX,Falcon 9 Block 5 | Globalstar FM15 & USA 328 to 331,Active,67.0
SpaceX,Falcon 9 Block 5 | SARah 1,Active,67.0
SpaceX,Falcon 9 Block 5 | Starlink Group 4-19,Active,67.0
Astra,Rocket 3 | TROPICS Flight 1,Retired,2.5
SpaceX,Falcon 9 Block 5 | Nilesat-301,Active,67.0
CASC,Long March 2F/G | Shenzhou 14,Active,
Blue Origin,New Shepard | NS-21,Active,
Roscosmos,Soyuz 2.1a | Progress MS-20,Active,17.42
CASC,Long March 2C | Geely Constellation Group 01,Active,30.8
SpaceX,Falcon 9 Block 5 | Transporter 5,Active,67.0
CASC,Long March 2C/YZ-1S | RSW-04 - 06,Active,30.8
ULA,Atlas V N22 | Starliner OFT-2,Active,
VKS RF,Soyuz 2.1a | Cosmos 2556,Active,17.42
SpaceX,Falcon 9 Block 5 | Starlink Group 4-18,Active,67.0
SpaceX,Falcon 9 Block 5 | Starlink Group 4-15,Active,67.0
SpaceX,Falcon 9 Block 5 | Starlink Group 4-13,Active,67.0
i-Space,Hyperbola-1 | Jilin-1 Mofang-01A(R),Active,
CASC,Long March 7 | Tianzhou 4,Active,
SpaceX,Falcon 9 Block 5 | Starlink Group 4-17,Active,67.0
CASC,Long March 2D | Jilin-1 Wideband-01C & High Resolution 03D-27 to 33,Active,29.75
Rocket Lab,Electron/Curie | There and Back Again,Active,7.5
CASC,Long March 11H | Jilin-1 Gaofen 03D-04 to 07 & 04A,Active,5.3
SpaceX,Falcon 9 Block 5 | Starlink Group 4-16,Active,67.0
VKS RF,Angara 1.2 | Cosmos 2555,Active,
CASC,Long March 2C | SuperView Neo 1-01 & 02,Active,30.8
SpaceX,Falcon 9 Block 5 | SpaceX Crew-4,Active,67.0
SpaceX,Falcon 9 Block 5 | Starlink Group 4-14,Active,67.0
SpaceX,Falcon 9 Block 5 | NROL-85,Active,67.0
CASC,Long March 4C | Daqi-1 (AEMS),Active,64.68
CASC,Long March 3B/E | ChinaSat 6D,Active,29.15
SpaceX,Falcon 9 Block 5 | Axiom Mission 1 (Ax-1),Active,67.0
VKS RF,Soyuz 2.1b | Cosmos 2554,Active,20.0
